Blog	four	looking	second	here	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	net	best	country	asked	much	life	things	big	had	easy	possible	right	old	people	support	happy	back	time	team	along	love	working	such	years	course	didn	internet	million	open	future	note	take	ways	going	artist	where	many	photos	technology	being	around	world	favorite	other	image	her	am	having	original	number	tv	th	large	small	past	hours	pick	via	company	information	its	always	found	really	major	self	also	play	sometimes	set	see	available	last	whole	rules	recent	using	couple	d	continue	anything	into	link	line	posted	us	ago	results	try	video	let	great	makes	tools	next	process	high	books	could	david	system	lot	face	fact	should	move	means	stuff	edition	email	ve	off	less	web	five	become	does	doing	told	word	work	interview	order	office	then	them	they	network	another	john	do	away	com	hand	photo	thanks	night	security	comments	marketing	post	months	way	update	together	change	live	social	write	product	remember	still	non	now	january	year	space	shows	care	than	online	only	between	article	comes	actually	these	media	real	read	early	business	aren	start	trying	since	month	very	learned	family	put	site	history	help	soon	event	miss	latest	pretty	during	x	close	won	probably	both	else	look	used	game	run	within	doesn	youtube	go	facebook	click	started	control	links	software	him	times	data	man	need	based	she	state	problem	keep	well	page	twitter	home	north	he	piece	friends	amp	companies	likely	even	while	ever	never	give	amazing	before	personal	better	weeks	went	content	isn	user	seen	don	m	points	stop	bad	said	against	three	website	say	make	left	just	human	yes	yet	popular	down	digital	finally	did	making	sunday	may	maybe	talk	nbsp	group	interesting	rock	morning	after	thing	think	first	little	anyone	were	show	enough	get	nearly	behind	reading	across	according	those	different	pay	same	running	money	either	users	videos	film	again	important	u	public	search	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	please	point	simple	understand	itself	yesterday	bit	google	often	decision	single	others	later	ll	day	including	almost	thought	add	works	buy	minutes	special	under	every	would	phone	me	end	over	writing	each	got	free	days	already	top	too	took	talking	though	watch	amazon	report	full	however	news	quickly	several	everything	christmas	why	check	no	posts	today	huge	name	turn	place	given	white	any	sure	written	review	outside	come	case	myself	events	week	without	when	seems	blog	there	program	far	sony	list	design	version	short	might	friday	feel	says	story	kind	nothing	part	his	wrote	art	use	recently	question	long	called	once	issues	app	few	something	united	six	instead	our	out	york	their	which	who	view	stories	gets	know	because	getting	own	apps	made	whether	book
Kotaku	1	1	0	3	0	0	0	0	2	0	1	2	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	3	3	0	1	0	4	0	0	0	0	0	3	0	0	2	0	0	1	0	0	1	0	3	0	1	0	0	1	0	3	3	2	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	1	1	0	1	3	0	0	0	3	0	1	0	9	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	1	0	0	0	0	1	1	4	0	0	24	0	0	0	0	0	4	0	2	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	4	0	0	0	0	5	0	1	1	0	0	0	1	0	0	4	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	0	0	1	1	2	0	0	2	1	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	1	7	2	0	0	2	0	1	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	4	0	0	1	1	2	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	1	2	2	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	2	1	0	1	0	2	0	3	0	0	0	1	1	3	0	0	0	2	1	0	1	1	0	0	0	1	0	2	0	2	0	1	1	0	0	0	0	1	1	0	1	1	2	0	0	0	2	0	1	0	0	0	0	0
69883ac5e1cecb8732e63dc3d870f42f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@ProBlogger	0	0	1	5	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	2	0	6	1	2	1	0	4	0	2	0	2	0	7	0	0	0	1	0	2	1	2	2	0	1	0	0	3	4	0	0	3	3	0	0	1	1	1	0	2	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	2	0	0	0	2	0	0	0	1	0	5	0	0	0	1	0	0	0	0	0	3	0	0	2	0	1	2	0	1	3	0	0	0	0	1	0	0	0	1	2	0	0	4	0	0	0	0	5	8	0	0	0	9	0	0	0	0	0	1	0	1	0	0	3	5	0	0	0	7	0	1	0	0	0	0	0	1	2	5	2	1	0	0	0	0	9	2	3	0	1	0	5	0	12	0	0	2	1	0	1	0	0	0	0	6	9	2	7	1	0	0	4	1	1	0	0	1	1	0	0	1	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	1	0	0	2	0	0	0	1	0	1	3	2	0	0	0	2	0	2	0	1	7	1	0	1	2	0	0	0	3	0	0	0	0	3	4	0	5	1	0	0	14	0	6	0	2	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	3	0	1	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	2	2	2	0	2	2	2	0	1	0	0	1	0	1	21	0	1	0	2	0	0	0	0	0	2	0	0	0	0	1	3	1	1	1	1	0	1	0	0	0	0	2	0	0	0	0	3	7	1	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	2	1	3	0	4	16	3	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	2	3	3	0	33	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	2	3	0	5	6	0	0	1	1	10	0	0	1	0	2	2	0
The Superficial - Because You're Ugly	1	1	1	9	2	0	1	0	3	0	0	5	2	0	0	0	0	0	16	0	0	2	2	4	0	2	0	1	2	12	2	0	2	1	16	0	0	0	0	0	0	2	2	1	0	0	0	0	1	0	2	0	13	1	2	0	1	1	0	1	6	0	14	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	13	2	3	0	1	0	0	0	3	1	14	2	0	0	3	15	0	0	1	0	1	1	0	0	1	0	12	0	2	1	1	1	0	0	1	1	1	0	0	0	5	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	2	0	0	0	4	1	0	2	4	0	0	0	0	1	5	0	3	0	0	0	0	0	14	0	0	2	0	9	1	18	0	0	0	2	0	1	0	0	1	0	3	0	2	40	0	1	0	3	2	1	0	0	0	1	1	1	1	0	1	0	0	0	1	2	0	1	0	1	0	0	3	0	0	0	0	1	0	1	0	12	0	0	0	0	1	2	0	1	1	0	8	0	0	0	3	0	0	0	1	4	0	0	0	0	0	18	1	0	2	1	0	3	0	1	0	0	0	1	0	1	16	4	0	0	0	0	1	1	0	1	2	0	0	0	1	2	0	3	0	1	3	0	0	0	1	1	0	0	0	2	4	1	1	0	4	1	1	1	2	1	14	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	12	6	1	0	0	1	0	0	0	0	12	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	2	4	1	1	1	0	0	1	0	0	2	1	3	0	1	1	3	0	0	3	2	2	5	2	4	0	1	1	1	0	0	0	0	5	1	0	1	3	3	0	5	13	1	0	2	0	0	0	1	1	2	0	0	0	2	2	1	0	2	1	4	0	0	2	0	0	4	0	0	0	0	2	2	0	1	1	1	13	3	3	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	4	11	0	1	6	3	0	1	2	2	22	3	0	0	0	1	0
b2b6894a45c49a045f2780f4b959215f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
How to Change the World	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10
43 Folders	5	2	8	28	2	0	15	0	26	6	0	48	2	3	3	3	1	0	14	0	1	37	32	55	25	26	5	5	24	10	54	3	6	25	46	2	1	15	7	6	16	2	8	3	0	4	8	4	10	5	7	2	20	20	0	3	17	10	13	10	22	0	17	14	11	2	9	4	1	3	2	8	4	2	1	2	6	9	20	1	77	4	9	27	6	15	3	18	5	13	4	2	2	8	7	45	4	14	21	2	3	15	21	3	2	18	14	17	14	5	5	3	2	0	1	24	4	4	39	5	9	16	1	11	27	2	11	40	13	16	10	4	12	5	16	6	3	59	9	8	0	25	22	48	4	10	15	74	7	17	3	2	13	5	0	0	0	2	4	36	4	3	13	8	1	3	4	6	20	9	41	6	14	1	0	27	36	1	22	3	4	5	14	24	2	19	43	4	8	4	11	10	5	2	29	3	4	3	2	0	30	5	4	2	0	11	2	4	2	10	8	8	7	5	6	2	6	2	18	0	21	1	2	2	3	2	1	12	3	3	7	21	2	29	0	15	10	24	4	4	6	2	39	0	5	11	2	4	50	10	26	26	4	1	13	4	27	1	2	1	0	0	1	46	47	5	11	6	14	4	3	1	21	45	2	70	4	13	6	2	9	0	6	13	11	0	15	14	22	1	0	2	1	7	10	33	31	29	28	14	16	4	15	50	5	2	13	0	0	27	7	3	9	4	5	7	5	0	0	10	13	0	1	0	10	4	4	1	7	26	8	2	16	6	10	11	9	2	41	3	10	16	21	7	14	6	1	7	2	19	3	6	4	5	37	16	8	13	10	1	0	5	7	5	20	12	20	1	82	7	29	4	13	2	8	7	13	2	14	2	4	2	6	1	0	7	1	1	2	2	12	0	32	2	37	2	13	7	3	5	7	3	0	38	10	16	1	5	5	3	8	2	11	12	30	2	5	33	0	7	0	3	10	3	3	16	2	7	13	6	9	7	17	28	2	3	11	1	3	21	3	4	0	8	13	23	0	4	4	35	44	1	19	45	70	4	2	13	40	57	11	13	5	28	14	25
Daily Kos	8	3	8	22	1	1	2	7	16	4	2	15	5	0	3	2	8	0	8	4	4	20	8	10	6	31	1	5	24	2	23	5	3	11	23	5	4	2	5	14	17	6	7	0	4	10	7	3	9	3	15	0	8	30	1	1	17	7	12	1	42	1	4	2	9	0	4	4	8	3	3	10	1	2	2	5	2	21	3	2	14	3	2	18	4	3	2	11	3	10	4	6	6	1	2	6	7	2	14	4	7	2	24	6	0	2	5	6	10	2	0	7	1	11	0	10	3	3	8	3	9	9	5	5	3	2	1	8	9	5	1	4	3	7	7	5	4	5	1	2	3	8	16	52	2	10	10	16	7	0	4	1	7	4	0	5	0	3	3	12	0	3	13	6	0	4	3	2	13	7	21	7	48	1	3	11	42	1	28	8	2	7	4	10	16	6	2	2	2	4	2	2	8	15	14	1	16	2	2	8	6	1	2	1	0	2	9	0	3	5	5	4	8	6	4	13	4	5	5	0	11	1	4	2	6	0	0	12	14	4	10	4	4	2	35	4	9	14	3	1	10	0	66	2	3	6	2	8	22	10	6	6	8	2	19	1	9	4	4	0	2	0	5	19	8	2	3	8	19	13	7	1	8	11	3	29	2	6	11	1	9	0	2	15	3	2	14	3	6	28	12	1	0	6	20	5	19	12	3	11	30	12	5	19	2	2	2	5	8	15	6	9	2	5	9	4	0	0	2	3	8	11	14	1	19	2	0	7	10	13	5	19	3	2	4	4	4	2	23	0	5	1	7	4	3	6	1	1	0	6	2	3	3	3	3	16	6	5	7	3	2	0	0	3	5	9	32	1	9	23	16	3	5	4	6	7	6	9	18	5	5	2	1	0	7	3	3	17	5	1	4	3	11	0	25	2	13	5	3	1	3	4	25	19	4	0	0	4	8	3	0	4	14	6	35	4	4	42	3	10	0	6	0	1	3	12	2	3	6	6	6	9	9	66	2	0	3	4	1	13	3	5	6	0	7	11	8	7	4	31	31	11	43	17	46	3	4	2	14	24	7	9	0	11	4	0
Deadspin	0	0	2	3	0	0	0	0	0	0	0	3	0	0	1	0	1	0	1	0	1	1	0	2	2	1	0	0	0	0	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	1	1	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	3	1	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	3	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	24	1	2	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	2	1	0	0	1	0	1	1	1	0	6	3	1	1	0	0	0	0	1	1	0	0	3	1	0	1	0	0	0	3	0	0	1	0	0	2	0	5	0	0	0	0	0	0	0	3	1	1	0	0	0	1	1	0	0	0	0	1	2	0	0	1	0	1	2	2	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	4	0	0	5	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	1	0	1	1	0	1	1	2	0	0	0	1	0	0	0	0	1	0	1	1	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	5	0	2	4	2	0	1	0	0	1	2	3	0	0	0	0
The Dish	0	0	0	12	0	0	2	1	3	1	2	2	0	0	0	1	0	0	2	1	0	0	1	0	0	1	0	0	0	5	7	0	0	3	8	0	2	1	0	1	3	2	2	0	0	0	1	0	5	0	2	4	2	4	0	0	3	1	5	2	2	1	2	3	1	0	1	0	2	0	2	0	2	0	0	0	0	4	1	1	1	1	2	3	1	0	0	2	0	3	2	0	2	2	0	0	0	1	6	0	1	1	2	0	0	0	0	0	0	0	0	1	3	2	1	1	2	1	1	3	0	2	2	2	0	0	2	4	2	1	0	1	2	0	0	1	1	2	2	2	0	3	1	5	0	9	1	3	1	1	0	2	0	0	0	0	0	2	0	5	0	1	2	0	0	0	0	0	2	0	3	1	2	2	1	1	4	0	1	1	0	0	1	2	0	0	0	2	1	0	0	1	2	0	2	0	2	1	0	2	0	0	0	0	1	1	0	0	1	0	1	1	0	2	1	0	0	3	2	0	1	0	2	2	0	0	0	0	0	0	0	2	0	5	1	0	0	0	1	0	1	0	6	3	0	0	0	0	3	1	1	0	0	1	0	1	0	1	0	0	2	0	1	3	1	0	1	0	1	1	1	0	1	1	1	4	2	1	3	1	1	1	0	2	1	0	2	0	0	0	0	1	0	0	1	1	2	4	0	1	3	1	1	4	1	1	5	0	0	4	1	0	2	0	1	1	1	0	4	1	1	0	3	0	1	0	1	1	0	1	2	2	1	0	1	0	0	1	1	0	1	2	0	0	1	0	2	0	0	1	0	1	0	0	0	5	0	1	0	0	0	0	0	1	0	2	3	0	1	1	3	1	0	4	0	4	0	0	1	0	1	1	0	0	3	1	1	0	1	0	0	0	5	0	2	0	2	0	0	1	0	0	2	2	1	1	3	0	2	0	0	2	3	1	6	0	1	7	2	0	0	0	1	2	4	1	0	1	3	4	1	1	0	10	0	3	1	2	2	2	1	1	1	0	1	0	1	0	0	3	2	1	8	1	7	6	0	0	3	1	0	1	0	3	0	2
Go Fug Yourself	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	10	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	2	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	20	2	0	0	0	3	0	1	1	1	0	0	10	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	19	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0
O'Reilly Radar	4	0	1	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	3	1	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	4	3	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	4	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	5	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1
Lifehacker	0	0	0	11	0	3	0	0	0	0	0	10	0	2	0	0	1	0	2	1	0	0	0	2	1	0	3	0	3	4	1	0	1	0	6	0	0	1	1	0	0	0	0	2	0	0	0	1	0	2	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	2	0	0	0	2	0	0	1	0	0	0	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	3	0	0	0	1	0	0	1	2	2	4	3	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	4	4	0	1	1	0	0	3	0	0	5	0	1	0	1	0	3	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	2	0	0	0	1	0	0	1	7	0	1	0	3	0	2	0	0	0	0	0	0	0	25	0	0	0	3	1	0	1	0	0	0	1	0	0	5	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	3	2	0	2	0	0	0	0	3	0	0	0	2	0	1	0	0	0	1	0	6	0	0	0	2	0	1	0	3	1	0	2	0	0	1	0	1	6	1	2	0	0	1	3	2	0	0	0	1	0	0	0	3	0	0	0	0	0	1	1	0	1	4	0	1	0	0	4	0	0	0	1	0	3	0	2	0	0	4	0	0	0	0	1	1	0	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0	3	2	0	2	0	0	1	0	0	0	0	0	0	0	2	1	0	3	0	1	0	1	0	0	2	0	0	0	3	0	0	0	0	1	0	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	2	1	1	0	0	3	1	0	0	1	2	0	1	0	1	0	0	0	3	0	7	0	0	3	0	0	0	2	2	1	0	1	0	1	0	0	0	0	0	2	0	0	1	0	1	1	0	0	0	1	2	0	2	0	1	1	5	0	0	1	0	0	0	0	0	1	0	2	1	3	0	0
